onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	14.906	1	1	1	"Low"	"Non-Logic"	"Problem"
22.002	1.970	1	1	1	"Low"	"Non-Logic"	"Choice"
29.991	30.000	0	1	3	"High"	"Logic"	"Problem"
64.006	2.864	0	1	3	"High"	"Logic"	"Choice"
78.014	18.421	1	1	2	"Low"	"Logic"	"Problem"
106.010	1.272	1	1	2	"Low"	"Logic"	"Choice"
120.017	22.670	0	1	3	"High"	"Non-Logic"	"Problem"
152.009	1.553	0	1	3	"High"	"Non-Logic"	"Choice"
160.016	19.312	0	1	3	"High"	"Logic"	"Problem"
190.019	4.000	0	1	3	"High"	"Logic"	"Choice"
206.015	29.235	0	1	3	"High"	"Non-Logic"	"Problem"
239.996	1.926	0	1	3	"High"	"Non-Logic"	"Choice"
248.003	6.685	1	1	2	"Low"	"Non-Logic"	"Problem"
257.981	1.340	1	1	2	"Low"	"Non-Logic"	"Choice"
272.005	9.491	1	1	1	"Low"	"Logic"	"Problem"
292.012	1.238	1	1	1	"Low"	"Logic"	"Choice"
4.000	9.542	0	2	1	"Low"	"Logic"	"Problem"
17.990	0.989	0	2	1	"Low"	"Logic"	"Choice"
25.996	9.921	1	2	1	"Low"	"Non-Logic"	"Problem"
45.987	1.648	1	2	1	"Low"	"Non-Logic"	"Choice"
59.994	25.860	1	2	4	"High"	"Non-Logic"	"Problem"
90.014	1.403	1	2	4	"High"	"Non-Logic"	"Choice"
103.971	30.000	0	2	4	"High"	"Logic"	"Problem"
144.003	1.246	0	2	4	"High"	"Logic"	"Choice"
151.993	30.000	1	2	4	"High"	"Non-Logic"	"Problem"
192.008	1.159	1	2	4	"High"	"Non-Logic"	"Choice"
205.982	30.000	0	2	2	"Low"	"Logic"	"Problem"
239.996	1.643	0	2	2	"Low"	"Logic"	"Choice"
253.986	30.000	0	2	4	"High"	"Logic"	"Problem"
287.984	1.808	0	2	4	"High"	"Logic"	"Choice"
295.991	5.754	1	2	2	"Low"	"Non-Logic"	"Problem"
312.003	1.406	1	2	2	"Low"	"Non-Logic"	"Choice"
319.993	30.000	0	2	4	"High"	"Logic"	"Problem"
360.008	1.440	0	2	4	"High"	"Logic"	"Choice"
