onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	5.241	0	1	1	"Low"	"Non-Logic"	"Problem"
13.979	4.000	0	1	1	"Low"	"Non-Logic"	"Choice"
23.974	7.802	0	1	4	"High"	"Logic"	"Problem"
35.959	1.910	0	1	4	"High"	"Logic"	"Choice"
49.983	7.731	0	1	2	"Low"	"Logic"	"Problem"
67.968	1.558	0	1	2	"Low"	"Logic"	"Choice"
81.958	10.161	0	1	3	"High"	"Non-Logic"	"Problem"
101.982	2.653	0	1	3	"High"	"Non-Logic"	"Choice"
109.989	9.834	0	1	3	"High"	"Logic"	"Problem"
129.996	4.000	0	1	3	"High"	"Logic"	"Choice"
146.009	8.392	0	1	4	"High"	"Non-Logic"	"Problem"
157.994	1.955	0	1	4	"High"	"Non-Logic"	"Choice"
165.967	5.742	0	1	2	"Low"	"Non-Logic"	"Problem"
175.979	1.996	0	1	2	"Low"	"Non-Logic"	"Choice"
189.986	8.227	0	1	2	"Low"	"Logic"	"Problem"
207.988	1.960	0	1	2	"Low"	"Logic"	"Choice"
4.000	10.779	1	2	1	"Low"	"Logic"	"Problem"
17.990	1.039	1	2	1	"Low"	"Logic"	"Choice"
25.980	7.924	0	2	2	"Low"	"Non-Logic"	"Problem"
43.999	1.655	0	2	2	"Low"	"Non-Logic"	"Choice"
57.973	13.959	1	2	3	"High"	"Non-Logic"	"Problem"
75.958	1.571	1	2	3	"High"	"Non-Logic"	"Choice"
89.998	16.125	0	2	4	"High"	"Logic"	"Problem"
116.006	2.820	0	2	4	"High"	"Logic"	"Choice"
123.996	9.252	0	2	4	"High"	"Non-Logic"	"Problem"
143.987	2.451	0	2	4	"High"	"Non-Logic"	"Choice"
157.994	11.473	0	2	1	"Low"	"Logic"	"Problem"
173.973	1.447	0	2	1	"Low"	"Logic"	"Choice"
187.980	8.705	1	2	3	"High"	"Logic"	"Problem"
199.981	2.905	1	2	3	"High"	"Logic"	"Choice"
208.004	5.369	1	2	1	"Low"	"Non-Logic"	"Problem"
223.967	1.339	1	2	1	"Low"	"Non-Logic"	"Choice"
232.106	14.310	1	2	4	"High"	"Logic"	"Problem"
256.208	2.462	1	2	4	"High"	"Logic"	"Choice"
