onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	6.370	0	1	1	"Low"	"Non-Logic"	"Problem"
13.995	1.161	0	1	1	"Low"	"Non-Logic"	"Choice"
21.968	6.325	1	1	3	"High"	"Logic"	"Problem"
31.997	1.037	1	1	3	"High"	"Logic"	"Choice"
45.987	11.625	0	1	2	"Low"	"Logic"	"Problem"
68.000	4.000	0	1	2	"Low"	"Logic"	"Choice"
83.997	7.590	0	1	4	"High"	"Non-Logic"	"Problem"
101.998	1.665	0	1	4	"High"	"Non-Logic"	"Choice"
109.988	12.066	0	1	3	"High"	"Logic"	"Problem"
131.985	1.768	0	1	3	"High"	"Logic"	"Choice"
145.992	17.848	1	1	3	"High"	"Non-Logic"	"Problem"
167.972	2.371	1	1	3	"High"	"Non-Logic"	"Choice"
175.978	11.828	0	1	2	"Low"	"Non-Logic"	"Problem"
191.991	4.000	0	1	2	"Low"	"Non-Logic"	"Choice"
207.987	13.580	0	1	1	"Low"	"Logic"	"Problem"
231.989	1.140	0	1	1	"Low"	"Logic"	"Choice"
4.000	17.368	0	2	2	"Low"	"Logic"	"Problem"
25.996	1.683	0	2	2	"Low"	"Logic"	"Choice"
33.986	11.077	0	2	2	"Low"	"Non-Logic"	"Problem"
56.000	1.320	0	2	2	"Low"	"Non-Logic"	"Choice"
70.006	22.797	1	2	3	"High"	"Non-Logic"	"Problem"
95.998	2.429	1	2	3	"High"	"Non-Logic"	"Choice"
110.005	23.912	0	2	4	"High"	"Logic"	"Problem"
144.003	4.000	0	2	4	"High"	"Logic"	"Choice"
153.998	11.493	1	2	4	"High"	"Non-Logic"	"Problem"
175.995	1.908	1	2	4	"High"	"Non-Logic"	"Choice"
190.002	8.834	1	2	1	"Low"	"Logic"	"Problem"
202.003	0.983	1	2	1	"Low"	"Logic"	"Choice"
215.994	19.692	1	2	4	"High"	"Logic"	"Problem"
239.980	1.962	1	2	4	"High"	"Logic"	"Choice"
248.002	7.138	1	2	1	"Low"	"Non-Logic"	"Problem"
265.988	1.440	1	2	1	"Low"	"Non-Logic"	"Choice"
273.994	18.657	1	2	4	"High"	"Logic"	"Problem"
301.992	2.130	1	2	4	"High"	"Logic"	"Choice"
