onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	12.965	1	1	1	"Low"	"Non-Logic"	"Problem"
20.012	1.453	1	1	1	"Low"	"Non-Logic"	"Choice"
28.002	26.885	0	1	4	"High"	"Logic"	"Problem"
58.005	2.335	0	1	4	"High"	"Logic"	"Choice"
72.012	29.564	0	1	1	"Low"	"Logic"	"Problem"
112.010	4.000	0	1	1	"Low"	"Logic"	"Choice"
128.007	18.364	1	1	3	"High"	"Non-Logic"	"Problem"
156.004	1.555	1	1	3	"High"	"Non-Logic"	"Choice"
164.010	30.000	0	1	3	"High"	"Logic"	"Problem"
204.009	1.300	0	1	3	"High"	"Logic"	"Choice"
217.999	21.055	1	1	4	"High"	"Non-Logic"	"Problem"
244.007	1.246	1	1	4	"High"	"Non-Logic"	"Choice"
251.997	30.000	0	1	2	"Low"	"Non-Logic"	"Problem"
286.012	2.031	0	1	2	"Low"	"Non-Logic"	"Choice"
300.018	25.696	1	1	1	"Low"	"Logic"	"Problem"
336.022	1.613	1	1	1	"Low"	"Logic"	"Choice"
4.000	12.575	1	2	2	"Low"	"Logic"	"Problem"
19.996	1.595	1	2	2	"Low"	"Logic"	"Choice"
28.002	15.793	1	2	2	"Low"	"Non-Logic"	"Problem"
53.994	1.783	1	2	2	"Low"	"Non-Logic"	"Choice"
68.001	30.000	0	2	3	"High"	"Non-Logic"	"Problem"
101.998	1.735	0	2	3	"High"	"Non-Logic"	"Choice"
115.989	30.000	0	2	4	"High"	"Logic"	"Problem"
155.987	2.105	0	2	4	"High"	"Logic"	"Choice"
163.994	30.000	1	2	4	"High"	"Non-Logic"	"Problem"
203.992	2.350	1	2	4	"High"	"Non-Logic"	"Choice"
217.999	30.000	0	2	2	"Low"	"Logic"	"Problem"
251.997	2.302	0	2	2	"Low"	"Logic"	"Choice"
265.987	21.656	1	2	3	"High"	"Logic"	"Problem"
291.996	2.300	1	2	3	"High"	"Logic"	"Choice"
299.985	12.303	1	2	1	"Low"	"Non-Logic"	"Problem"
321.999	1.997	1	2	1	"Low"	"Non-Logic"	"Choice"
329.988	20.288	0	2	4	"High"	"Logic"	"Problem"
359.991	2.445	0	2	4	"High"	"Logic"	"Choice"
