onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	18.434	0	1	2	"Low"	"Non-Logic"	"Problem"
26.030	4.000	0	1	2	"Low"	"Non-Logic"	"Choice"
36.009	19.344	0	1	3	"High"	"Logic"	"Problem"
60.028	1.775	0	1	3	"High"	"Logic"	"Choice"
74.018	26.166	1	1	2	"Low"	"Logic"	"Problem"
110.022	2.100	1	1	2	"Low"	"Logic"	"Choice"
124.012	25.847	1	1	4	"High"	"Non-Logic"	"Problem"
160.016	2.085	1	1	4	"High"	"Non-Logic"	"Choice"
168.023	26.703	0	1	3	"High"	"Logic"	"Problem"
204.026	1.784	0	1	3	"High"	"Logic"	"Choice"
218.017	30.000	0	1	3	"High"	"Non-Logic"	"Problem"
252.015	2.389	0	1	3	"High"	"Non-Logic"	"Choice"
260.005	13.404	1	1	1	"Low"	"Non-Logic"	"Problem"
278.007	1.397	1	1	1	"Low"	"Non-Logic"	"Choice"
292.030	8.843	0	1	1	"Low"	"Logic"	"Problem"
309.999	4.000	0	1	1	"Low"	"Logic"	"Choice"
4.000	24.319	1	2	1	"Low"	"Logic"	"Problem"
31.998	1.057	1	2	1	"Low"	"Logic"	"Choice"
40.004	10.129	0	2	1	"Low"	"Non-Logic"	"Problem"
59.995	1.167	0	2	1	"Low"	"Non-Logic"	"Choice"
73.985	22.251	1	2	4	"High"	"Non-Logic"	"Problem"
99.994	1.391	1	2	4	"High"	"Non-Logic"	"Choice"
113.984	26.103	0	2	4	"High"	"Logic"	"Problem"
149.971	2.804	0	2	4	"High"	"Logic"	"Choice"
157.994	15.031	1	2	3	"High"	"Non-Logic"	"Problem"
183.969	1.412	1	2	3	"High"	"Non-Logic"	"Choice"
197.993	30.000	0	2	2	"Low"	"Logic"	"Problem"
232.008	2.251	0	2	2	"Low"	"Logic"	"Choice"
245.998	26.058	0	2	4	"High"	"Logic"	"Problem"
276.034	2.475	0	2	4	"High"	"Logic"	"Choice"
283.991	8.565	1	2	2	"Low"	"Non-Logic"	"Problem"
302.010	2.234	1	2	2	"Low"	"Non-Logic"	"Choice"
309.999	30.000	0	2	4	"High"	"Logic"	"Problem"
349.998	2.714	0	2	4	"High"	"Logic"	"Choice"
