onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	5.488	0	1	1	"Low"	"Non-Logic"	"Problem"
13.979	0.698	0	1	1	"Low"	"Non-Logic"	"Choice"
19.997	8.159	0	1	4	"High"	"Logic"	"Problem"
31.981	2.259	0	1	4	"High"	"Logic"	"Choice"
46.021	9.600	0	1	1	"Low"	"Logic"	"Problem"
65.979	2.710	0	1	1	"Low"	"Logic"	"Choice"
79.986	11.290	1	1	4	"High"	"Non-Logic"	"Problem"
102.016	1.737	1	1	4	"High"	"Non-Logic"	"Choice"
110.023	7.078	0	1	3	"High"	"Logic"	"Problem"
127.991	4.000	0	1	3	"High"	"Logic"	"Choice"
144.087	2.933	0	1	3	"High"	"Non-Logic"	"Problem"
152.027	1.313	0	1	3	"High"	"Non-Logic"	"Choice"
160.000	3.680	0	1	2	"Low"	"Non-Logic"	"Problem"
168.006	1.470	0	1	2	"Low"	"Non-Logic"	"Choice"
182.013	4.598	0	1	1	"Low"	"Logic"	"Problem"
196.020	2.111	0	1	1	"Low"	"Logic"	"Choice"
4.000	3.619	0	2	2	"Low"	"Logic"	"Problem"
11.990	1.071	0	2	2	"Low"	"Logic"	"Choice"
19.996	8.250	1	2	1	"Low"	"Non-Logic"	"Problem"
37.982	1.271	1	2	1	"Low"	"Non-Logic"	"Choice"
51.989	5.273	0	2	3	"High"	"Non-Logic"	"Problem"
61.984	2.645	0	2	3	"High"	"Non-Logic"	"Choice"
75.991	5.375	0	2	3	"High"	"Logic"	"Problem"
92.004	1.861	0	2	3	"High"	"Logic"	"Choice"
99.994	7.416	1	2	4	"High"	"Non-Logic"	"Problem"
118.012	1.514	1	2	4	"High"	"Non-Logic"	"Choice"
131.986	4.299	0	2	2	"Low"	"Logic"	"Problem"
139.992	1.561	0	2	2	"Low"	"Logic"	"Choice"
153.983	4.813	0	2	4	"High"	"Logic"	"Problem"
162.006	1.221	0	2	4	"High"	"Logic"	"Choice"
169.995	4.634	0	2	2	"Low"	"Non-Logic"	"Problem"
184.019	0.934	0	2	2	"Low"	"Non-Logic"	"Choice"
191.976	6.444	0	2	4	"High"	"Logic"	"Problem"
208.005	0.952	0	2	4	"High"	"Logic"	"Choice"
