onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	12.698	0	1	2	"Low"	"Non-Logic"	"Problem"
19.996	4.000	0	1	2	"Low"	"Non-Logic"	"Choice"
30.008	13.070	0	1	3	"High"	"Logic"	"Problem"
47.994	4.000	0	1	3	"High"	"Logic"	"Choice"
64.006	7.427	0	1	1	"Low"	"Logic"	"Problem"
82.008	1.862	0	1	1	"Low"	"Logic"	"Choice"
95.999	8.113	0	1	4	"High"	"Non-Logic"	"Problem"
114.000	4.000	0	1	4	"High"	"Non-Logic"	"Choice"
123.996	6.891	1	1	3	"High"	"Logic"	"Problem"
140.009	2.163	1	1	3	"High"	"Logic"	"Choice"
153.983	12.389	0	1	4	"High"	"Non-Logic"	"Problem"
169.995	4.000	0	1	4	"High"	"Non-Logic"	"Choice"
180.007	2.843	1	1	1	"Low"	"Non-Logic"	"Problem"
186.008	1.209	1	1	1	"Low"	"Non-Logic"	"Choice"
199.998	8.104	0	1	1	"Low"	"Logic"	"Problem"
218.000	1.883	0	1	1	"Low"	"Logic"	"Choice"
4.000	7.781	1	2	2	"Low"	"Logic"	"Problem"
15.985	2.747	1	2	2	"Low"	"Logic"	"Choice"
24.008	3.773	1	2	1	"Low"	"Non-Logic"	"Problem"
37.998	1.163	1	2	1	"Low"	"Non-Logic"	"Choice"
51.989	11.642	0	2	3	"High"	"Non-Logic"	"Problem"
67.985	2.475	0	2	3	"High"	"Non-Logic"	"Choice"
81.992	13.486	0	2	4	"High"	"Logic"	"Problem"
106.011	4.000	0	2	4	"High"	"Logic"	"Choice"
116.007	6.911	1	2	3	"High"	"Non-Logic"	"Problem"
131.986	2.737	1	2	3	"High"	"Non-Logic"	"Choice"
146.010	8.071	0	2	2	"Low"	"Logic"	"Problem"
158.011	2.245	0	2	2	"Low"	"Logic"	"Choice"
172.001	13.490	0	2	4	"High"	"Logic"	"Problem"
190.003	2.500	0	2	4	"High"	"Logic"	"Choice"
198.010	5.376	1	2	2	"Low"	"Non-Logic"	"Problem"
214.006	1.756	1	2	2	"Low"	"Non-Logic"	"Choice"
221.995	11.971	1	2	4	"High"	"Logic"	"Problem"
244.009	1.446	1	2	4	"High"	"Logic"	"Choice"
