onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	6.555	1	1	1	"Low"	"Non-Logic"	"Problem"
13.996	1.695	1	1	1	"Low"	"Non-Logic"	"Choice"
22.002	20.067	0	1	4	"High"	"Logic"	"Problem"
46.004	4.000	0	1	4	"High"	"Logic"	"Choice"
62.001	18.787	0	1	1	"Low"	"Logic"	"Problem"
89.998	4.000	0	1	1	"Low"	"Logic"	"Choice"
105.994	21.864	1	1	4	"High"	"Non-Logic"	"Problem"
138.003	2.712	1	1	4	"High"	"Non-Logic"	"Choice"
145.993	30.000	0	1	3	"High"	"Logic"	"Problem"
186.008	2.701	0	1	3	"High"	"Logic"	"Choice"
199.998	23.659	0	1	3	"High"	"Non-Logic"	"Problem"
227.996	4.000	0	1	3	"High"	"Non-Logic"	"Choice"
238.008	7.569	0	1	1	"Low"	"Non-Logic"	"Problem"
249.993	1.614	0	1	1	"Low"	"Non-Logic"	"Choice"
264.000	10.735	1	1	1	"Low"	"Logic"	"Problem"
284.007	1.101	1	1	1	"Low"	"Logic"	"Choice"
4.000	30.000	0	2	2	"Low"	"Logic"	"Problem"
37.998	2.599	0	2	2	"Low"	"Logic"	"Choice"
46.005	9.824	1	2	2	"Low"	"Non-Logic"	"Problem"
66.012	1.189	1	2	2	"Low"	"Non-Logic"	"Choice"
80.003	8.401	0	2	4	"High"	"Non-Logic"	"Problem"
92.004	1.895	0	2	4	"High"	"Non-Logic"	"Choice"
106.011	25.489	0	2	4	"High"	"Logic"	"Problem"
142.015	2.980	0	2	4	"High"	"Logic"	"Choice"
150.004	13.063	0	2	3	"High"	"Non-Logic"	"Problem"
174.007	2.055	0	2	3	"High"	"Non-Logic"	"Choice"
187.998	9.949	0	2	2	"Low"	"Logic"	"Problem"
202.004	1.026	0	2	2	"Low"	"Logic"	"Choice"
216.011	12.030	0	2	3	"High"	"Logic"	"Problem"
232.024	4.000	0	2	3	"High"	"Logic"	"Choice"
242.019	9.908	0	2	2	"Low"	"Non-Logic"	"Problem"
262.011	1.726	0	2	2	"Low"	"Non-Logic"	"Choice"
270.000	30.000	0	2	4	"High"	"Logic"	"Problem"
309.999	1.840	0	2	4	"High"	"Logic"	"Choice"
