onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	19.248	0	1	2	"Low"	"Non-Logic"	"Problem"
28.019	2.231	0	1	2	"Low"	"Non-Logic"	"Choice"
36.009	18.733	0	1	3	"High"	"Logic"	"Problem"
58.022	4.000	0	1	3	"High"	"Logic"	"Choice"
73.985	6.223	1	1	1	"Low"	"Logic"	"Problem"
89.998	2.911	1	1	1	"Low"	"Logic"	"Choice"
104.021	11.304	0	1	4	"High"	"Non-Logic"	"Problem"
126.018	2.366	0	1	4	"High"	"Non-Logic"	"Choice"
134.008	11.100	0	1	4	"High"	"Logic"	"Problem"
156.021	4.000	0	1	4	"High"	"Logic"	"Choice"
172.000	12.121	0	1	3	"High"	"Non-Logic"	"Problem"
187.980	1.288	0	1	3	"High"	"Non-Logic"	"Choice"
196.003	11.155	1	1	1	"Low"	"Non-Logic"	"Problem"
212.016	2.025	1	1	1	"Low"	"Non-Logic"	"Choice"
226.006	16.425	1	1	2	"Low"	"Logic"	"Problem"
251.998	1.846	1	1	2	"Low"	"Logic"	"Choice"
4.000	12.464	1	2	2	"Low"	"Logic"	"Problem"
19.996	1.485	1	2	2	"Low"	"Logic"	"Choice"
27.986	6.845	1	2	2	"Low"	"Non-Logic"	"Problem"
44.032	2.229	1	2	2	"Low"	"Non-Logic"	"Choice"
57.989	13.778	1	2	4	"High"	"Non-Logic"	"Problem"
76.008	1.690	1	2	4	"High"	"Non-Logic"	"Choice"
89.981	21.758	0	2	4	"High"	"Logic"	"Problem"
121.974	4.000	0	2	4	"High"	"Logic"	"Choice"
131.986	21.498	1	2	3	"High"	"Non-Logic"	"Problem"
164.011	1.759	1	2	3	"High"	"Non-Logic"	"Choice"
178.001	12.400	0	2	1	"Low"	"Logic"	"Problem"
193.981	1.065	0	2	1	"Low"	"Logic"	"Choice"
207.988	27.246	0	2	3	"High"	"Logic"	"Problem"
240.013	2.330	0	2	3	"High"	"Logic"	"Choice"
248.003	6.525	0	2	1	"Low"	"Non-Logic"	"Problem"
263.982	2.007	0	2	1	"Low"	"Non-Logic"	"Choice"
272.005	24.273	1	2	4	"High"	"Logic"	"Problem"
306.003	1.094	1	2	4	"High"	"Logic"	"Choice"
