onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	7.828	1	1	1	"Low"	"Non-Logic"	"Problem"
16.001	1.887	1	1	1	"Low"	"Non-Logic"	"Choice"
23.991	14.347	0	1	4	"High"	"Logic"	"Problem"
41.992	4.000	0	1	4	"High"	"Logic"	"Choice"
58.005	20.573	0	1	2	"Low"	"Logic"	"Problem"
88.008	4.000	0	1	2	"Low"	"Logic"	"Choice"
104.004	26.104	0	1	4	"High"	"Non-Logic"	"Problem"
139.992	1.832	0	1	4	"High"	"Non-Logic"	"Choice"
147.998	20.324	1	1	3	"High"	"Logic"	"Problem"
178.001	2.493	1	1	3	"High"	"Logic"	"Choice"
191.992	20.542	0	1	3	"High"	"Non-Logic"	"Problem"
215.994	1.023	0	1	3	"High"	"Non-Logic"	"Choice"
223.984	11.984	1	1	2	"Low"	"Non-Logic"	"Problem"
239.997	1.247	1	1	2	"Low"	"Non-Logic"	"Choice"
254.004	28.977	1	1	2	"Low"	"Logic"	"Problem"
294.002	1.536	1	1	2	"Low"	"Logic"	"Choice"
4.000	9.570	0	2	1	"Low"	"Logic"	"Problem"
18.007	1.258	0	2	1	"Low"	"Logic"	"Choice"
25.996	22.973	1	2	1	"Low"	"Non-Logic"	"Problem"
58.005	1.416	1	2	1	"Low"	"Non-Logic"	"Choice"
71.996	30.000	0	2	3	"High"	"Non-Logic"	"Problem"
105.994	2.966	0	2	3	"High"	"Non-Logic"	"Choice"
120.001	29.079	1	2	4	"High"	"Logic"	"Problem"
159.983	1.351	1	2	4	"High"	"Logic"	"Choice"
167.989	11.633	0	2	4	"High"	"Non-Logic"	"Problem"
190.002	2.746	0	2	4	"High"	"Non-Logic"	"Choice"
203.993	10.078	1	2	1	"Low"	"Logic"	"Problem"
218.000	1.697	1	2	1	"Low"	"Logic"	"Choice"
232.007	30.000	1	2	3	"High"	"Logic"	"Problem"
266.005	2.053	1	2	3	"High"	"Logic"	"Choice"
273.995	8.067	0	2	2	"Low"	"Non-Logic"	"Problem"
291.997	1.030	0	2	2	"Low"	"Non-Logic"	"Choice"
299.986	22.075	1	2	4	"High"	"Logic"	"Problem"
331.995	1.319	1	2	4	"High"	"Logic"	"Choice"
