onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	9.484	1	1	2	"Low"	"Non-Logic"	"Problem"
18.040	2.879	1	1	2	"Low"	"Non-Logic"	"Choice"
26.014	19.331	0	1	3	"High"	"Logic"	"Problem"
50.033	4.000	0	1	3	"High"	"Logic"	"Choice"
66.029	11.397	0	1	1	"Low"	"Logic"	"Problem"
88.025	4.000	0	1	1	"Low"	"Logic"	"Choice"
104.021	8.737	0	1	4	"High"	"Non-Logic"	"Problem"
122.023	2.889	0	1	4	"High"	"Non-Logic"	"Choice"
130.030	8.823	0	1	3	"High"	"Logic"	"Problem"
148.048	4.000	0	1	3	"High"	"Logic"	"Choice"
164.028	25.599	0	1	4	"High"	"Non-Logic"	"Problem"
194.031	1.845	0	1	4	"High"	"Non-Logic"	"Choice"
202.020	9.199	0	1	1	"Low"	"Non-Logic"	"Problem"
216.027	1.828	0	1	1	"Low"	"Non-Logic"	"Choice"
230.034	11.596	0	1	1	"Low"	"Logic"	"Problem"
252.014	1.500	0	1	1	"Low"	"Logic"	"Choice"
4.000	30.000	0	2	2	"Low"	"Logic"	"Problem"
37.998	2.072	0	2	2	"Low"	"Logic"	"Choice"
46.004	16.029	1	2	2	"Low"	"Non-Logic"	"Problem"
72.012	1.421	1	2	2	"Low"	"Non-Logic"	"Choice"
85.986	30.000	0	2	3	"High"	"Non-Logic"	"Problem"
120.001	4.000	0	2	3	"High"	"Non-Logic"	"Choice"
135.997	30.000	1	2	4	"High"	"Logic"	"Problem"
175.995	2.029	1	2	4	"High"	"Logic"	"Choice"
183.985	13.844	1	2	3	"High"	"Non-Logic"	"Problem"
207.988	2.916	1	2	3	"High"	"Non-Logic"	"Choice"
222.011	19.490	0	2	2	"Low"	"Logic"	"Problem"
246.014	1.260	0	2	2	"Low"	"Logic"	"Choice"
260.004	30.000	0	2	4	"High"	"Logic"	"Problem"
294.018	1.915	0	2	4	"High"	"Logic"	"Choice"
301.992	5.008	1	2	1	"Low"	"Non-Logic"	"Problem"
317.988	1.527	1	2	1	"Low"	"Non-Logic"	"Choice"
325.994	30.000	0	2	4	"High"	"Logic"	"Problem"
366.009	4.000	0	2	4	"High"	"Logic"	"Choice"
