onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	19.038	1	1	1	"Low"	"Non-Logic"	"Problem"
27.985	2.003	1	1	1	"Low"	"Non-Logic"	"Choice"
35.975	30.000	0	1	3	"High"	"Logic"	"Problem"
69.990	4.000	0	1	3	"High"	"Logic"	"Choice"
85.986	30.000	0	1	1	"Low"	"Logic"	"Problem"
125.984	4.000	0	1	1	"Low"	"Logic"	"Choice"
141.980	14.676	1	1	4	"High"	"Non-Logic"	"Problem"
165.999	2.322	1	1	4	"High"	"Non-Logic"	"Choice"
173.973	30.000	0	1	4	"High"	"Logic"	"Problem"
213.955	2.027	0	1	4	"High"	"Logic"	"Choice"
227.995	30.000	0	1	3	"High"	"Non-Logic"	"Problem"
261.993	4.000	0	1	3	"High"	"Non-Logic"	"Choice"
271.972	8.195	1	1	1	"Low"	"Non-Logic"	"Problem"
283.973	2.172	1	1	1	"Low"	"Non-Logic"	"Choice"
297.963	30.000	0	1	1	"Low"	"Logic"	"Problem"
337.978	2.027	0	1	1	"Low"	"Logic"	"Choice"
4.000	21.608	0	2	2	"Low"	"Logic"	"Problem"
30.025	4.000	0	2	2	"Low"	"Logic"	"Choice"
40.004	11.011	1	2	2	"Low"	"Non-Logic"	"Problem"
62.033	1.468	1	2	2	"Low"	"Non-Logic"	"Choice"
76.007	20.111	1	2	4	"High"	"Non-Logic"	"Problem"
100.010	2.495	1	2	4	"High"	"Non-Logic"	"Choice"
114.033	30.000	0	2	4	"High"	"Logic"	"Problem"
154.032	1.535	0	2	4	"High"	"Logic"	"Choice"
161.989	17.536	1	2	3	"High"	"Non-Logic"	"Problem"
190.019	1.868	1	2	3	"High"	"Non-Logic"	"Choice"
204.009	19.470	1	2	2	"Low"	"Logic"	"Problem"
228.012	1.346	1	2	2	"Low"	"Logic"	"Choice"
242.002	15.688	0	2	3	"High"	"Logic"	"Problem"
262.010	4.000	0	2	3	"High"	"Logic"	"Choice"
272.005	7.986	1	2	2	"Low"	"Non-Logic"	"Problem"
290.007	1.975	1	2	2	"Low"	"Non-Logic"	"Choice"
298.013	30.000	0	2	4	"High"	"Logic"	"Problem"
338.028	2.069	0	2	4	"High"	"Logic"	"Choice"
