onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	15.270	1	1	1	"Low"	"Non-Logic"	"Problem"
24.007	2.822	1	1	1	"Low"	"Non-Logic"	"Choice"
32.014	22.438	0	1	4	"High"	"Logic"	"Problem"
58.022	4.000	0	1	4	"High"	"Logic"	"Choice"
74.001	14.991	1	1	1	"Low"	"Logic"	"Problem"
100.009	1.984	1	1	1	"Low"	"Logic"	"Choice"
114.016	15.319	0	1	3	"High"	"Non-Logic"	"Problem"
140.008	4.000	0	1	3	"High"	"Non-Logic"	"Choice"
150.003	18.750	1	1	3	"High"	"Logic"	"Problem"
178.017	1.761	1	1	3	"High"	"Logic"	"Choice"
192.007	28.479	0	1	3	"High"	"Non-Logic"	"Problem"
224.016	1.648	0	1	3	"High"	"Non-Logic"	"Choice"
232.022	11.807	1	1	2	"Low"	"Non-Logic"	"Problem"
248.002	1.491	1	1	2	"Low"	"Non-Logic"	"Choice"
262.009	20.169	0	1	2	"Low"	"Logic"	"Problem"
291.995	1.507	0	1	2	"Low"	"Logic"	"Choice"
4.000	16.184	1	2	2	"Low"	"Logic"	"Problem"
23.991	1.822	1	2	2	"Low"	"Logic"	"Choice"
31.997	10.473	1	2	2	"Low"	"Non-Logic"	"Problem"
52.005	1.724	1	2	2	"Low"	"Non-Logic"	"Choice"
65.995	14.660	1	2	4	"High"	"Non-Logic"	"Problem"
83.997	2.196	1	2	4	"High"	"Non-Logic"	"Choice"
98.004	18.597	0	2	3	"High"	"Logic"	"Problem"
125.984	1.272	0	2	3	"High"	"Logic"	"Choice"
133.991	10.527	1	2	4	"High"	"Non-Logic"	"Problem"
153.998	2.318	1	2	4	"High"	"Non-Logic"	"Choice"
167.989	13.966	0	2	1	"Low"	"Logic"	"Problem"
185.990	0.907	0	2	1	"Low"	"Logic"	"Choice"
197.991	14.024	1	2	4	"High"	"Logic"	"Problem"
215.993	1.879	1	2	4	"High"	"Logic"	"Choice"
224.000	11.311	1	2	1	"Low"	"Non-Logic"	"Problem"
245.996	2.965	1	2	1	"Low"	"Non-Logic"	"Choice"
254.002	25.445	0	2	4	"High"	"Logic"	"Problem"
289.989	1.492	0	2	4	"High"	"Logic"	"Choice"
