onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	7.216	1	1	2	"Low"	"Non-Logic"	"Problem"
16.001	2.023	1	1	2	"Low"	"Non-Logic"	"Choice"
24.007	8.101	0	1	3	"High"	"Logic"	"Problem"
36.008	4.000	0	1	3	"High"	"Logic"	"Choice"
52.004	18.653	0	1	1	"Low"	"Logic"	"Problem"
80.002	1.629	0	1	1	"Low"	"Logic"	"Choice"
93.993	15.340	0	1	3	"High"	"Non-Logic"	"Problem"
120.000	4.000	0	1	3	"High"	"Non-Logic"	"Choice"
130.012	10.558	0	1	4	"High"	"Logic"	"Problem"
150.003	1.450	0	1	4	"High"	"Logic"	"Choice"
163.994	15.906	0	1	4	"High"	"Non-Logic"	"Problem"
184.001	4.000	0	1	4	"High"	"Non-Logic"	"Choice"
193.997	7.623	0	1	1	"Low"	"Non-Logic"	"Problem"
205.998	4.000	0	1	1	"Low"	"Non-Logic"	"Choice"
221.994	8.390	1	1	2	"Low"	"Logic"	"Problem"
239.996	1.298	1	1	2	"Low"	"Logic"	"Choice"
4.000	7.261	0	2	2	"Low"	"Logic"	"Problem"
17.427	0.553	0	2	2	"Low"	"Logic"	"Choice"
23.693	0.099	0	2	2	"Low"	"Non-Logic"	"Problem"
35.710	4.000	0	2	2	"Low"	"Non-Logic"	"Choice"
