onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	5.906	1	1	1	"Low"	"Non-Logic"	"Problem"
14.012	1.184	1	1	1	"Low"	"Non-Logic"	"Choice"
22.001	13.078	1	1	3	"High"	"Logic"	"Problem"
40.003	3.576	1	1	3	"High"	"Logic"	"Choice"
56.016	18.052	0	1	1	"Low"	"Logic"	"Problem"
84.013	1.158	0	1	1	"Low"	"Logic"	"Choice"
98.003	30.000	0	1	4	"High"	"Non-Logic"	"Problem"
138.002	3.082	0	1	4	"High"	"Non-Logic"	"Choice"
148.014	15.275	1	1	4	"High"	"Logic"	"Problem"
174.005	2.951	1	1	4	"High"	"Logic"	"Choice"
188.012	22.141	0	1	3	"High"	"Non-Logic"	"Problem"
214.004	1.365	0	1	3	"High"	"Non-Logic"	"Choice"
222.010	10.165	0	1	2	"Low"	"Non-Logic"	"Problem"
236.000	1.888	0	1	2	"Low"	"Non-Logic"	"Choice"
250.007	12.315	1	1	1	"Low"	"Logic"	"Problem"
272.004	1.517	1	1	1	"Low"	"Logic"	"Choice"
4.000	22.634	0	2	2	"Low"	"Logic"	"Problem"
29.991	1.669	0	2	2	"Low"	"Logic"	"Choice"
37.998	9.245	0	2	1	"Low"	"Non-Logic"	"Problem"
58.005	2.917	0	2	1	"Low"	"Non-Logic"	"Choice"
71.996	12.045	0	2	4	"High"	"Non-Logic"	"Problem"
87.992	4.000	0	2	4	"High"	"Non-Logic"	"Choice"
105.993	21.627	0	2	4	"High"	"Logic"	"Problem"
138.002	2.685	0	2	4	"High"	"Logic"	"Choice"
146.008	30.000	0	2	3	"High"	"Non-Logic"	"Problem"
185.990	3.905	0	2	3	"High"	"Non-Logic"	"Choice"
202.003	12.846	1	2	2	"Low"	"Logic"	"Problem"
217.999	2.507	1	2	2	"Low"	"Logic"	"Choice"
232.006	30.000	0	2	3	"High"	"Logic"	"Problem"
266.003	3.336	0	2	3	"High"	"Logic"	"Choice"
275.999	8.096	1	2	2	"Low"	"Non-Logic"	"Problem"
294.001	2.033	1	2	2	"Low"	"Non-Logic"	"Choice"
