onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	2.433	0	1	2	"Low"	"Non-Logic"	"Problem"
10.001	1.085	0	1	2	"Low"	"Non-Logic"	"Choice"
18.007	7.775	0	1	4	"High"	"Logic"	"Problem"
30.009	4.000	0	1	4	"High"	"Logic"	"Choice"
46.005	4.875	0	1	1	"Low"	"Logic"	"Problem"
59.995	4.000	0	1	1	"Low"	"Logic"	"Choice"
75.991	7.822	1	1	3	"High"	"Non-Logic"	"Problem"
93.993	1.052	1	1	3	"High"	"Non-Logic"	"Choice"
102.016	12.531	1	1	3	"High"	"Logic"	"Problem"
123.996	1.611	1	1	3	"High"	"Logic"	"Choice"
138.019	6.999	0	1	4	"High"	"Non-Logic"	"Problem"
150.020	1.017	0	1	4	"High"	"Non-Logic"	"Choice"
158.010	4.675	0	1	2	"Low"	"Non-Logic"	"Problem"
166.000	1.313	0	1	2	"Low"	"Non-Logic"	"Choice"
180.007	9.488	0	1	2	"Low"	"Logic"	"Problem"
200.014	1.108	0	1	2	"Low"	"Logic"	"Choice"
4.000	9.506	0	2	1	"Low"	"Logic"	"Problem"
17.990	1.735	0	2	1	"Low"	"Logic"	"Choice"
25.996	4.562	1	2	1	"Low"	"Non-Logic"	"Problem"
40.003	1.377	1	2	1	"Low"	"Non-Logic"	"Choice"
53.994	4.474	0	2	4	"High"	"Non-Logic"	"Problem"
62.000	1.529	0	2	4	"High"	"Non-Logic"	"Choice"
75.990	8.955	0	2	4	"High"	"Logic"	"Problem"
93.992	1.695	0	2	4	"High"	"Logic"	"Choice"
101.982	8.434	0	2	3	"High"	"Non-Logic"	"Problem"
119.983	2.367	0	2	3	"High"	"Non-Logic"	"Choice"
133.990	7.536	0	2	2	"Low"	"Logic"	"Problem"
145.991	1.089	0	2	2	"Low"	"Logic"	"Choice"
159.998	7.186	0	2	3	"High"	"Logic"	"Problem"
172.000	1.194	0	2	3	"High"	"Logic"	"Choice"
180.006	3.600	1	2	1	"Low"	"Non-Logic"	"Problem"
193.980	0.738	1	2	1	"Low"	"Non-Logic"	"Choice"
199.997	7.905	0	2	4	"High"	"Logic"	"Problem"
217.998	4.000	0	2	4	"High"	"Logic"	"Choice"
