onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	30.000	0	1	2	"Low"	"Non-Logic"	"Problem"
38.015	1.763	0	1	2	"Low"	"Non-Logic"	"Choice"
46.005	30.000	0	1	3	"High"	"Logic"	"Problem"
80.003	1.830	0	1	3	"High"	"Logic"	"Choice"
94.010	22.332	1	1	2	"Low"	"Logic"	"Problem"
126.002	1.562	1	1	2	"Low"	"Logic"	"Choice"
139.992	30.000	0	1	3	"High"	"Non-Logic"	"Problem"
180.007	4.000	0	1	3	"High"	"Non-Logic"	"Choice"
190.003	27.459	0	1	4	"High"	"Logic"	"Problem"
228.012	2.578	0	1	4	"High"	"Logic"	"Choice"
241.986	24.599	1	1	3	"High"	"Non-Logic"	"Problem"
269.984	1.360	1	1	3	"High"	"Non-Logic"	"Choice"
277.990	27.791	1	1	1	"Low"	"Non-Logic"	"Problem"
309.999	1.824	1	1	1	"Low"	"Non-Logic"	"Choice"
324.006	30.000	0	1	2	"Low"	"Logic"	"Problem"
364.004	2.603	0	1	2	"Low"	"Logic"	"Choice"
4.000	15.886	0	2	1	"Low"	"Logic"	"Problem"
24.007	1.273	0	2	1	"Low"	"Logic"	"Choice"
31.997	17.885	1	2	2	"Low"	"Non-Logic"	"Problem"
60.027	2.232	1	2	2	"Low"	"Non-Logic"	"Choice"
74.001	30.000	1	2	4	"High"	"Non-Logic"	"Problem"
108.016	2.012	1	2	4	"High"	"Non-Logic"	"Choice"
121.990	30.000	1	2	4	"High"	"Logic"	"Problem"
162.005	1.704	1	2	4	"High"	"Logic"	"Choice"
170.011	30.000	1	2	4	"High"	"Non-Logic"	"Problem"
210.026	2.203	1	2	4	"High"	"Non-Logic"	"Choice"
224.000	30.000	1	2	1	"Low"	"Logic"	"Problem"
257.998	1.908	1	2	1	"Low"	"Logic"	"Choice"
272.005	30.000	0	2	3	"High"	"Logic"	"Problem"
306.020	4.000	0	2	3	"High"	"Logic"	"Choice"
315.998	10.168	1	2	1	"Low"	"Non-Logic"	"Problem"
335.989	1.538	1	2	1	"Low"	"Non-Logic"	"Choice"
344.012	30.000	0	2	4	"High"	"Logic"	"Problem"
384.011	2.562	0	2	4	"High"	"Logic"	"Choice"
