onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	12.326	1	1	1	"Low"	"Non-Logic"	"Problem"
19.996	2.968	1	1	1	"Low"	"Non-Logic"	"Choice"
30.008	15.254	0	1	4	"High"	"Logic"	"Problem"
50.016	4.000	0	1	4	"High"	"Logic"	"Choice"
65.995	14.192	0	1	2	"Low"	"Logic"	"Problem"
89.998	2.134	0	1	2	"Low"	"Logic"	"Choice"
104.004	13.664	1	1	3	"High"	"Non-Logic"	"Problem"
128.007	2.623	1	1	3	"High"	"Non-Logic"	"Choice"
136.013	18.052	1	1	3	"High"	"Logic"	"Problem"
164.010	2.910	1	1	3	"High"	"Logic"	"Choice"
178.001	10.432	0	1	3	"High"	"Non-Logic"	"Problem"
192.008	4.000	0	1	3	"High"	"Non-Logic"	"Choice"
202.003	15.507	1	1	2	"Low"	"Non-Logic"	"Problem"
222.010	1.635	1	1	2	"Low"	"Non-Logic"	"Choice"
236.017	18.531	0	1	1	"Low"	"Logic"	"Problem"
263.998	1.590	0	1	1	"Low"	"Logic"	"Choice"
4.000	15.458	0	2	2	"Low"	"Logic"	"Problem"
23.975	1.468	0	2	2	"Low"	"Logic"	"Choice"
32.014	30.000	0	2	1	"Low"	"Non-Logic"	"Problem"
71.996	2.720	0	2	1	"Low"	"Non-Logic"	"Choice"
85.970	8.888	0	2	4	"High"	"Non-Logic"	"Problem"
98.004	2.416	0	2	4	"High"	"Non-Logic"	"Choice"
111.994	30.000	1	2	4	"High"	"Logic"	"Problem"
151.959	1.858	1	2	4	"High"	"Logic"	"Choice"
159.999	24.899	0	2	4	"High"	"Non-Logic"	"Problem"
194.013	2.320	0	2	4	"High"	"Non-Logic"	"Choice"
208.004	21.812	1	2	1	"Low"	"Logic"	"Problem"
233.979	1.162	1	2	1	"Low"	"Logic"	"Choice"
248.002	22.667	1	2	3	"High"	"Logic"	"Problem"
273.978	2.315	1	2	3	"High"	"Logic"	"Choice"
281.983	13.850	1	2	2	"Low"	"Non-Logic"	"Problem"
306.002	1.731	1	2	2	"Low"	"Non-Logic"	"Choice"
313.992	30.000	0	2	4	"High"	"Logic"	"Problem"
353.990	4.000	0	2	4	"High"	"Logic"	"Choice"
