onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	6.379	0	1	2	"Low"	"Non-Logic"	"Problem"
13.996	2.670	0	1	2	"Low"	"Non-Logic"	"Choice"
22.002	10.046	0	1	3	"High"	"Logic"	"Problem"
36.009	4.000	0	1	3	"High"	"Logic"	"Choice"
51.989	10.145	1	1	2	"Low"	"Logic"	"Problem"
71.996	2.348	1	1	2	"Low"	"Logic"	"Choice"
85.986	8.872	1	1	3	"High"	"Non-Logic"	"Problem"
103.988	2.147	1	1	3	"High"	"Non-Logic"	"Choice"
111.994	5.666	0	1	4	"High"	"Logic"	"Problem"
127.991	2.351	0	1	4	"High"	"Logic"	"Choice"
141.998	11.002	0	1	3	"High"	"Non-Logic"	"Problem"
158.010	2.135	0	1	3	"High"	"Non-Logic"	"Choice"
166.000	4.274	0	1	1	"Low"	"Non-Logic"	"Problem"
174.006	1.302	0	1	1	"Low"	"Non-Logic"	"Choice"
187.997	10.565	0	1	2	"Low"	"Logic"	"Problem"
207.988	2.372	0	1	2	"Low"	"Logic"	"Choice"
4.000	23.682	0	2	1	"Low"	"Logic"	"Problem"
31.997	1.837	0	2	1	"Low"	"Logic"	"Choice"
40.004	20.678	1	2	2	"Low"	"Non-Logic"	"Problem"
70.023	2.141	1	2	2	"Low"	"Non-Logic"	"Choice"
83.997	23.854	1	2	4	"High"	"Non-Logic"	"Problem"
112.011	1.793	1	2	4	"High"	"Non-Logic"	"Choice"
126.018	30.000	0	2	3	"High"	"Logic"	"Problem"
166.017	2.437	0	2	3	"High"	"Logic"	"Choice"
174.006	6.255	0	2	4	"High"	"Non-Logic"	"Problem"
190.003	4.000	0	2	4	"High"	"Non-Logic"	"Choice"
206.015	20.976	0	2	1	"Low"	"Logic"	"Problem"
232.007	2.695	0	2	1	"Low"	"Logic"	"Choice"
246.014	22.727	0	2	4	"High"	"Logic"	"Problem"
272.022	2.528	0	2	4	"High"	"Logic"	"Choice"
279.995	6.083	0	2	1	"Low"	"Non-Logic"	"Problem"
295.991	1.620	0	2	1	"Low"	"Non-Logic"	"Choice"
303.998	9.379	0	2	4	"High"	"Logic"	"Problem"
324.005	2.655	0	2	4	"High"	"Logic"	"Choice"
