onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	13.773	1	1	1	"Low"	"Non-Logic"	"Problem"
21.985	1.763	1	1	1	"Low"	"Non-Logic"	"Choice"
30.025	30.000	0	1	3	"High"	"Logic"	"Problem"
64.023	4.000	0	1	3	"High"	"Logic"	"Choice"
80.003	16.730	1	1	2	"Low"	"Logic"	"Problem"
106.011	2.738	1	1	2	"Low"	"Logic"	"Choice"
120.001	19.873	1	1	4	"High"	"Non-Logic"	"Problem"
150.021	1.509	1	1	4	"High"	"Non-Logic"	"Choice"
158.011	30.000	0	1	4	"High"	"Logic"	"Problem"
198.043	1.916	0	1	4	"High"	"Logic"	"Choice"
212.000	30.000	0	1	3	"High"	"Non-Logic"	"Problem"
246.015	4.000	0	1	3	"High"	"Non-Logic"	"Choice"
256.010	10.223	1	1	2	"Low"	"Non-Logic"	"Problem"
270.017	2.060	1	1	2	"Low"	"Non-Logic"	"Choice"
284.008	18.810	0	1	1	"Low"	"Logic"	"Problem"
312.022	4.000	0	1	1	"Low"	"Logic"	"Choice"
4.000	30.000	0	2	2	"Low"	"Logic"	"Problem"
37.982	2.985	0	2	2	"Low"	"Logic"	"Choice"
47.994	7.421	1	2	1	"Low"	"Non-Logic"	"Problem"
65.996	1.075	1	2	1	"Low"	"Non-Logic"	"Choice"
79.987	19.584	1	2	3	"High"	"Non-Logic"	"Problem"
103.989	2.301	1	2	3	"High"	"Non-Logic"	"Choice"
117.979	22.205	0	2	4	"High"	"Logic"	"Problem"
149.988	1.302	0	2	4	"High"	"Logic"	"Choice"
157.995	22.670	1	2	4	"High"	"Non-Logic"	"Problem"
190.004	1.786	1	2	4	"High"	"Non-Logic"	"Choice"
203.994	23.402	0	2	1	"Low"	"Logic"	"Problem"
231.992	1.642	0	2	1	"Low"	"Logic"	"Choice"
246.015	30.000	0	2	3	"High"	"Logic"	"Problem"
279.997	1.278	0	2	3	"High"	"Logic"	"Choice"
288.003	17.504	0	2	2	"Low"	"Non-Logic"	"Problem"
315.984	1.396	0	2	2	"Low"	"Non-Logic"	"Choice"
323.990	24.051	0	2	4	"High"	"Logic"	"Problem"
358.005	1.270	0	2	4	"High"	"Logic"	"Choice"
