onset	duration	accuracy	block	num_rules	rules	logic	phase
4.000	3.926	1	1	1	"Low"	"Non-Logic"	"Problem"
12.006	1.468	1	1	1	"Low"	"Non-Logic"	"Choice"
20.013	8.954	0	1	4	"High"	"Logic"	"Problem"
32.014	2.263	0	1	4	"High"	"Logic"	"Choice"
46.004	4.932	0	1	1	"Low"	"Logic"	"Problem"
59.995	2.663	0	1	1	"Low"	"Logic"	"Choice"
74.018	4.456	1	1	4	"High"	"Non-Logic"	"Problem"
88.009	1.987	1	1	4	"High"	"Non-Logic"	"Choice"
96.015	4.499	0	1	4	"High"	"Logic"	"Problem"
110.006	1.275	0	1	4	"High"	"Logic"	"Choice"
124.013	6.506	0	1	3	"High"	"Non-Logic"	"Problem"
134.008	2.069	0	1	3	"High"	"Non-Logic"	"Choice"
142.014	7.104	1	1	2	"Low"	"Non-Logic"	"Problem"
154.016	2.518	1	1	2	"Low"	"Non-Logic"	"Choice"
168.006	7.557	1	1	1	"Low"	"Logic"	"Problem"
186.008	2.593	1	1	1	"Low"	"Logic"	"Choice"
4.000	11.980	0	2	2	"Low"	"Logic"	"Problem"
19.995	2.934	0	2	2	"Low"	"Logic"	"Choice"
28.002	6.999	1	2	1	"Low"	"Non-Logic"	"Problem"
45.987	2.343	1	2	1	"Low"	"Non-Logic"	"Choice"
59.994	9.716	0	2	3	"High"	"Non-Logic"	"Problem"
74.001	4.000	0	2	3	"High"	"Non-Logic"	"Choice"
89.997	10.295	0	2	3	"High"	"Logic"	"Problem"
109.988	2.381	0	2	3	"High"	"Logic"	"Choice"
118.011	10.716	0	2	4	"High"	"Non-Logic"	"Problem"
138.002	4.000	0	2	4	"High"	"Non-Logic"	"Choice"
153.982	4.012	0	2	2	"Low"	"Logic"	"Problem"
162.005	1.278	0	2	2	"Low"	"Logic"	"Choice"
176.012	6.028	0	2	3	"High"	"Logic"	"Problem"
185.991	2.565	0	2	3	"High"	"Logic"	"Choice"
194.014	4.341	1	2	2	"Low"	"Non-Logic"	"Problem"
208.004	1.077	1	2	2	"Low"	"Non-Logic"	"Choice"
216.010	6.272	0	2	4	"High"	"Logic"	"Problem"
232.007	2.638	0	2	4	"High"	"Logic"	"Choice"
